Nama;Rating;Location;Open;Close
Rama Krisna Oleh Oleh Bali 24 Jam;4.5;Jl. Raya Tuban No.2X, Tuban,Kabupaten Badung;06.00;23.00
Oleh Oleh Khas Bali;4.3;Jl. Veteran No.59;08.00;21.00
Krisna Oleh oleh Khas Bali;4.4;Jl. Seririt- Singaraja, Temukus,Kabupaten Buleleng;08.00;22.00
