Nama,Rating,Location,Entrance Fee
Pura Gunung Kawi Sebatu,4.6,"Sebatu, Tegallalang, Gianyar Regency, Bali 80511",30000
Munduk Waterfall,4.5,Jl. Kayu Putih - Munduk,20000
Museum Geopark Batur,4.6,Penelokan Main Rd,20000
Taman Ayun Temple,4.6,Jl. Ayodya No.10,30000
Museum Le Mayeur,4.2,Jl. Hang Tuah,50000
Pura Dalem Agung Padangtegal,4.5,Jl. Monkey Forest,0
Desa Wisata Pule,4.8,Banjar Pule,50000
Agrowisata Satria,3,"Manukaya, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",50000
Agung Bali,4,"Jln. Dewi Sri No.18XX, Kuta, Badung, Bali",0
Wisata Air Panas Toya Bungkah,4,"Batur Tengah, Kec. Kintamani, Kabupaten Bangli, Bali",70000
Air Terjun Aling-Aling,4.5,"Jl. Raya Desa Sambangan, Banjar, Sambangan, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",20000
Air Terjun Tegenungan,4,"Jl. Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80581",20000
Air Terjun Tukad Cepung,4.5,"Jl. Tembuku, Tembuku, Kec. Tembuku, Kabupaten Bangli, Bali 80671",15000
Aloha Ubud Swing,5,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",3000000
Bali Bird Park,4.5,"Jl. Serma Cok Ngurah Gambir Singapadu, Batubulan, Gianyar 80582 Indonesia",110000
Handara Iconic Gate,3.5,"Jl. Raya Singaraja-Denpasar, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",20000
Bali Swing,4.5,"Jl. Dewi Saraswati No.7, Bongkasa Pertiwi, Kec. Abiansemal, Kabupaten Badung, Bali 803.52",500000
Batik Koleksi Sari Amerta,3.5,"Jl. Raya Batubulan No.9, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 8023.07",0
Big Garden Corner,4,"Jl. By Pas Ngurah Rai, Sanur, Denpasar 8023.07 Indonesia",305
Bukit Wanagiri,4.5,"Jalan Munduk - Wanagiri, Wanagiri, Sukasada, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali",50000
Campuhan Ridge Walk,4.5,"Jl. Raya Campuhan, Ubud 80571 Indonesia",0
Danau Batur,4,"Songan B, Kec. Kintamani, Kabupaten Bangli, Bali",15000
Danau Beratan,4.5,"Kec. Baturiti, Kabupaten Tabanan, Bali",300
Danau Tamblingan,4.5,"Banjar Dinas Tamblingan desa Munduk, Kecamatan Banjar Kabupaten Buleleng",10000
Desa Budaya Kertalangu,4.5,"Jl. Bypass Ngurah Rai No.88, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 8023.07",10000
Desa Celuk,3.5,"Jalan Raya Celuk, Sukawati 80582 Indonesia",0
Desa Tohpati,4,"Kecamatan Banjarangkan, Kabupaten Klungkung, Provinsi Bali",0
Galeri Seni Semar Kuning,4.5,"Jl. A.A. Gede Rai No.8, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",0
