Nama,Rating,Location,Open,Close,Foto
Jepun Bali Oleh-oleh Bali (Souvenier),4.6,"Kuta, Kec. Kuta, Kabupaten Badung",08.00,10.00,https://lh5.googleusercontent.com/p/AF1QipNGIgd4svOVTAJk2pw7iqB5o90vOaia-hl3wdv2=w426-h240-k-no
Snack Meyuk! Oleh-Oleh Khas Bali,5.0,"Jl. Patih Jelantik No.55, Legian, Kec. Kuta, Kabupaten Badung",09.00,21.30,https://lh5.googleusercontent.com/p/AF1QipPoMcQIGaPXr4sUq3GjgUt4t-FxxzmdtdmpdwT7=w122-h92-k-no
Erlangga 2,4.6,"Jl. Nusa Kambangan No.162, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113",08.30,21.45,https://lh5.googleusercontent.com/p/AF1QipPwW8kJYRw3bvBBnTp-1hc3JW8D2aFXjFgJeb9P=w163-h92-k-no
Pabrik Kata-Kata Joger,4.5,"Jl. Raya Kuta, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",10.00,17.00,https://lh5.googleusercontent.com/p/AF1QipNHkolmZEH-vMBU2q7RlrPcNMakDSpLjNP2miYx=w122-h92-k-no
Pia Legong,3.9,"Ruko Kuta Megah No. 15, Jalan By Pass Ngurah Rai, Tuban, Kuta, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361",09.00,17.00,https://lh5.googleusercontent.com/p/AF1QipOIo63uZWpNKAIxaLA4Gof7Q_OQjRRjS72yLvsl=w122-h92-k-no
NURUL BAJU BALI,5.0,"Jl. Tukad Badung XIV D No.16, Renon, Denpasar Selatan, Kota Denpasar, Bali 80226",08.00,20.00,https://lh5.googleusercontent.com/p/AF1QipPdyfbBbWsYMBwXCY95ZvlWpkkKMULDMRxzOQ86=w90-h92-k-no
Baju Bali At Centro,4.3,"Jl. Kartika Plaza, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",10.00,22.00,https://lh5.googleusercontent.com/p/AF1QipNO0QfQpXj5dDuXucDT1pbPcBBBd1mqlki0SeAN=w122-h92-k-no
Baju Bali Murah,4.2,"Perum Padang Gajah Jl. Padang Gajah No.5, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119",10.00,16.00,https://lh5.googleusercontent.com/p/AF1QipNYRDII2LVcioO71fC62y-vBWHDrwNoq5deDOFu=w125-h92-k-no
Bali Baju,4.4,"Jl. Tukad badung timur Kelurahan renon, Dangin Puri Klod, Denpasar Selatan, Kota Denpasar, Bali 80226",08.00,17.00,https://lh5.googleusercontent.com/p/AF1QipPtyu59__SoRdkJG_jVZV1cKRiTsJq5G7Sff8hH=w80-h106-k-no
Baju Bali Oleh- Oleh Bali,4.0,"Gg. Sari Ayu No.2 A, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80236",13.00,17.00,https://lh5.googleusercontent.com/p/AF1QipPr5SenQyg8MOmb_4NbQSWiziwuJgdmGwyDBu2z=w493-h240-k-no
